Freq.	V(out)
1.99526231496886e+03	(3.62260981943782e+01dB,-1.62462103765292e+02°)
2.04173794466951e+03	(3.62445961128776e+01dB,-1.62883813001033e+02°)
2.08929613085402e+03	(3.62623296609654e+01dB,-1.63298601040123e+02°)
2.13796208950221e+03	(3.62793269888443e+01dB,-1.63706558765401e+02°)
2.18776162394953e+03	(3.62956154258016e+01dB,-1.64107780588828e+02°)
2.23872113856832e+03	(3.63112214837092e+01dB,-1.64502364161846e+02°)
2.29086765276775e+03	(3.63261708623841e+01dB,-1.64890410097831e+02°)
2.34422881531990e+03	(3.63404884566305e+01dB,-1.65272021706780e+02°)
2.39883291901947e+03	(3.63541983647946e+01dB,-1.65647304742305e+02°)
2.45470891568501e+03	(3.63673238986708e+01dB,-1.66016367160922e+02°)
2.51188643150955e+03	(3.63798875946063e+01dB,-1.66379318893580e+02°)
2.57039578276884e+03	(3.63919112256586e+01dB,-1.66736271629305e+02°)
2.63026799189535e+03	(3.64034158146689e+01dB,-1.67087338610790e+02°)
2.69153480392689e+03	(3.64144216481252e+01dB,-1.67432634441715e+02°)
2.75422870333814e+03	(3.64249482906927e+01dB,-1.67772274905563e+02°)
2.81838293126442e+03	(3.64350146003021e+01dB,-1.68106376795637e+02°)
2.88403150312658e+03	(3.64446387436894e+01dB,-1.68435057755984e+02°)
2.95120922666635e+03	(3.64538382122945e+01dB,-1.68758436132914e+02°)
3.01995172040198e+03	(3.64626298384265e+01dB,-1.69076630836740e+02°)
3.09029543251356e+03	(3.64710298116164e+01dB,-1.69389761213425e+02°)
3.16227766016835e+03	(3.64790536950823e+01dB,-1.69697946925750e+02°)
3.23593656929625e+03	(3.64867164422380e+01dB,-1.70001307843637e+02°)
3.31131121482588e+03	(3.64940324131837e+01dB,-1.70299963943267e+02°)
3.38844156139199e+03	(3.65010153911226e+01dB,-1.70594035214616e+02°)
